PRODUCT,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,TotalSales_11Months,AdjustedAnnualSales,Lead Time (Days),COST,Wholesale vs Direct,Winery,Reorder Point,Max Level,Is_Anchor,Is_By_the_Bottle
Wine_SKU_001,15.7,19.2,22.2,24.5,12.8,9.6,8.2,17.8,9.8,13.0,15.3,168.0,183.5,2.0,13.44,Wholesaler,NA,13.0,38.0,0,0
Wine_SKU_002,7.2,18.7,13.0,24.3,13.9,4.7,6.2,11.1,11.1,6.2,8.3,124.8,136.5,2.0,12.11,Direct,NA,11.0,34.0,0,0
Wine_SKU_003,1.0,0.0,20.3,0.0,1.0,5.1,1.0,5.1,4.1,5.1,2.0,44.6,48.7,2.0,11.02,Direct,NA,1.0,3.0,0,0
Wine_SKU_004,64.5,76.6,50.4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.6,213.7,1.0,10.96,Wholesaler,NA,12.0,24.0,0,1
Wine_SKU_005,23.8,24.2,30.6,27.8,21.5,12.6,8.6,23.8,16.0,18.4,33.3,240.6,262.4,1.0,10.06,Direct,NA,11.0,33.0,0,1
Wine_SKU_006,6.9,10.2,8.4,12.8,6.1,3.7,0.6,2.6,3.9,6.3,4.8,66.2,72.3,1.0,18.40,Direct,Winery_01,6.0,19.0,0,0
Wine_SKU_007,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,2.3,2.0,18.44,Wholesaler,NA,2.0,7.0,0,1
Wine_SKU_008,0.9,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,1.9,4.0,16.40,Direct,Winery_03,3.0,6.0,0,0
Wine_SKU_009,0.0,0.0,0.0,0.0,0.0,0.0,18.2,13.8,2.3,1.1,0.0,35.4,38.3,3.0,27.00,Direct,Winery_15,2.0,6.0,1,0
Wine_SKU_010,0.0,0.0,1.0,1.9,2.9,2.9,0.0,1.0,0.0,0.0,1.9,11.5,12.4,4.0,26.78,Direct,Winery_04,2.0,6.0,1,0
Wine_SKU_011,0.0,0.0,0.0,0.0,1.1,0.0,1.1,1.1,0.0,0.0,2.2,5.5,5.5,1.0,30.35,Wholesaler,NA,2.0,7.0,0,1
Wine_SKU_012,1.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,7.9,1.0,17.05,Wholesaler,NA,2.0,6.0,0,1
Wine_SKU_013,2.1,2.1,3.2,9.5,2.1,0.0,1.1,0.0,0.0,0.0,2.1,22.3,24.4,1.0,21.83,Wholesaler,NA,4.0,8.0,0,1
Wine_SKU_014,0.0,0.0,0.0,0.0,2.3,24.0,17.9,34.4,32.1,36.4,32.3,179.3,195.8,2.0,16.23,Wholesaler,NA,14.0,41.0,0,1
Wine_SKU_015,0.0,0.0,0.0,0.0,3.3,29.9,37.0,59.8,45.6,45.2,45.6,266.3,290.1,1.0,16.87,Wholesaler,NA,12.0,35.0,0,1
Wine_SKU_016,4.4,0.0,1.7,0.0,0.0,0.0,18.1,18.8,0.9,0.9,0.0,44.8,49.1,2.0,30.52,Direct,Winery_02,2.0,7.0,0,0
Wine_SKU_017,4.3,7.5,8.6,20.4,5.4,3.2,3.2,4.3,4.3,1.1,2.1,64.3,69.7,4.0,29.54,Wholesaler,Winery_02,6.0,19.0,0,0
Wine_SKU_018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8,1.1,0.0,10.9,12.0,4.0,28.17,Direct,Winery_05,2.0,9.0,1,0
Wine_SKU_019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.3,0.0,0.0,21.3,23.4,3.0,56.17,Wholesaler,Winery_05,2.0,9.0,1,0
